Gene,Non-unique Gene name,Annotation,No. isolates
Cluster_22257,,,750
Cluster_11361,,,750
Cluster_9147,,,750
Cluster_9414,,,750
Cluster_14136,,,750
Cluster_15957,,,750
Cluster_7833,,,750
Cluster_21168,,,750
Cluster_16478,,,750
Cluster_7406,,,750
Cluster_16322,,,750
Cluster_17276,,,750
Cluster_20646,,,750
Cluster_22385,,,750
Cluster_14197,,,750
Cluster_17190,,,750
Cluster_11342,,,750
Cluster_14545,,,750
Cluster_16481,,,750
Cluster_13088,,,750
Cluster_15168,,,750
Cluster_13499,,,750
Cluster_4490,,,750
Cluster_21160,,,750
Cluster_10450,,,750
Cluster_16319,,,750
Cluster_18412,,,750
Cluster_12045,,,750
Cluster_13450,,,750
Cluster_10652,,,750
Cluster_21866,,,750
Cluster_16362,,,750
Cluster_18791,,,750
Cluster_6503,,,750
Cluster_1090,,,750
Cluster_15625,,,750
Cluster_7891,,,750
Cluster_15621,,,750
Cluster_5657,,,750
Cluster_18018,,,750
Cluster_18784,,,750
Cluster_20854,,,750
Cluster_10666,,,750
Cluster_22391,,,750
Cluster_18139,,,750
Cluster_16318,,,750
Cluster_8893,,,750
Cluster_11001,,,750
Cluster_6155,,,750
Cluster_18696,,,750
Cluster_21514,,,750
Cluster_7802,,,750
Cluster_13149,,,750
Cluster_17275,,,750
Cluster_16261,,,750
Cluster_18316,,,750
Cluster_17530,,,750
Cluster_19947,,,750
Cluster_11879,,,750
Cluster_14606,,,750
Cluster_17694,,,750
Cluster_9678,,,750
Cluster_21392,,,750
Cluster_11056,,,750
Cluster_8975,,,750
Cluster_17192,,,750
Cluster_11197,,,750
Cluster_18792,,,750
Cluster_13502,,,750
Cluster_5681,,,750
Cluster_3162,,,750
Cluster_6773,,,750
Cluster_9957,,,750
Cluster_17692,,,750
Cluster_18506,,,750
Cluster_7523,,,750
Cluster_7736,,,750
Cluster_19559,,,750
Cluster_5427,,,750
Cluster_18138,,,750
Cluster_6457,,,750
